date,symbol,open,close,high,low,volume_lots,turnover_cny,amplitude_pct,change_pct,change,turnover_rate_pct
2024-01-02,000001,9.39,9.21,9.42,9.21,1158366,1075742252.45,2.24,-1.92,-0.18,0.6
2024-01-03,000001,9.19,9.2,9.22,9.15,733610,673673613.54,0.76,-0.11,-0.01,0.38
2024-01-04,000001,9.19,9.11,9.19,9.08,864194,787470082.37,1.2,-0.98,-0.09,0.45
2024-01-05,000001,9.1,9.27,9.44,9.07,1991622,1852659692.14,4.06,1.76,0.16,1.03
